date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,10.8,5.3,12,0.4,,280,9.5,,1013.2,
2023-01-02,11.4,9.4,13.3,0.5,,265,6.8,,1019.7,
2023-01-03,11.2,8,14,9.6,,165,7.9,,1014.6,
2023-01-04,14.5,9.4,19,9.9,,208,8.9,,1010.6,
2023-01-05,8.7,7,10,0.4,,54,8,,1014.1,
2023-01-06,6.8,3.9,8.9,7.5,,317,8.8,,1016,
2023-01-07,4.7,2.8,7,0,,282,10.8,,1021,
2023-01-08,2.9,0.6,5,0,,291,8,,1024.3,
2023-01-09,4.3,2.8,6.7,0.8,,283,8.3,,1014.1,
2023-01-10,4.2,3.3,5,0,,304,8,,1017.1,
2023-01-11,3,1.7,4,0,,67,10.8,,1023.6,
2023-01-12,7.4,3,12,7.2,,92,8.2,,1017.3,
2023-01-13,9.1,3,13.3,6.5,,259,13,,1002.7,
2023-01-14,1.1,-1,2.8,0,,2,16.3,,1010.2,
2023-01-15,1.3,-1.1,5,0,,352,16.1,,1015.9,
2023-01-16,2.6,-2,8.9,0,,313,12.8,,1012.1,
2023-01-17,5.5,-1.9,8.3,1,,272,6.7,,1006.1,
2023-01-18,8.7,6.7,11.1,0.8,,277,12.4,,1009.4,
2023-01-19,5.3,4,6.7,20.4,,29,8.3,,1012.1,
2023-01-20,6.7,4.4,9.4,0,,285,10.8,,1005.8,
2023-01-21,3.6,2.8,5,0,,317,9,,1020.2,
2023-01-22,3.6,2,6,5.2,,104,8.4,,1018.7,
2023-01-23,3,2,4,9.7,,329,12.7,,1004.8,
2023-01-24,4.3,2,7.2,0,,271,11.8,,1020.5,
2023-01-25,4.9,2,12,20.5,,68,10.1,,1018.9,
2023-01-26,7.6,5,13,5.6,,260,14.4,,1003.9,
2023-01-27,3.5,2,5,0,,252,9.6,,1018.9,
2023-01-28,7.4,3,11,0,,230,12.3,,1024.1,
2023-01-29,9.1,5.6,12,0,,218,9.8,,1023,
2023-01-30,9.2,6.7,12.2,0,,277,5.7,,1020.1,
2023-01-31,2.9,-0.6,9.4,2,,343,8.8,,1021.9,
2023-02-01,-0.2,-3,3,1.6,,335,8.8,,1024.3,
2023-02-02,1.3,-2,4,0,,245,9.8,,1019,
2023-02-03,-5.4,-12.1,1.1,0,,298,29,,1017.1,
2023-02-04,-9.4,-16,-2.8,0,,265,14.1,,1033.9,
2023-02-05,3.8,-2,9,0,,223,12.4,,1021.7,
